company_name,company_price_intraday,company_symbol_link
Microsoft Corporation,137.06,https://finance.yahoo.com/sector/ms_technology//quote/MSFT?p=MSFT
Apple Inc.,207.52,https://finance.yahoo.com/sector/ms_technology//quote/AAPL?p=AAPL
Alphabet Inc.,"1,186.69",https://finance.yahoo.com/sector/ms_technology//quote/GOOG?p=GOOG
Alphabet Inc.,"1,188.30",https://finance.yahoo.com/sector/ms_technology//quote/GOOGL?p=GOOGL
"Facebook, Inc.",183.79,https://finance.yahoo.com/sector/ms_technology//quote/FB?p=FB
Intel Corporation,47.42,https://finance.yahoo.com/sector/ms_technology//quote/INTC?p=INTC
Taiwan Semiconductor Manufacturing Company Limited,42.56,https://finance.yahoo.com/sector/ms_technology//quote/TSM?p=TSM
"Cisco Systems, Inc.",46.64,https://finance.yahoo.com/sector/ms_technology//quote/CSCO?p=CSCO
Oracle Corporation,52.02,https://finance.yahoo.com/sector/ms_technology//quote/ORCL?p=ORCL
SAP SE,118.95,https://finance.yahoo.com/sector/ms_technology//quote/SAP?p=SAP
Adobe Inc.,283.02,https://finance.yahoo.com/sector/ms_technology//quote/ADBE?p=ADBE
"salesforce.com, inc.",154.41,https://finance.yahoo.com/sector/ms_technology//quote/CRM?p=CRM
Accenture plc,198.21,https://finance.yahoo.com/sector/ms_technology//quote/ACN?p=ACN
International Business Machines Corporation,134.73,https://finance.yahoo.com/sector/ms_technology//quote/IBM?p=IBM
Texas Instruments Incorporated,124.00,https://finance.yahoo.com/sector/ms_technology//quote/TXN?p=TXN
Broadcom Inc.,282.63,https://finance.yahoo.com/sector/ms_technology//quote/AVGO?p=AVGO
NVIDIA Corporation,167.75,https://finance.yahoo.com/sector/ms_technology//quote/NVDA?p=NVDA
ASML Holding N.V.,222.76,https://finance.yahoo.com/sector/ms_technology//quote/ASML?p=ASML
QUALCOMM Incorporated,77.45,https://finance.yahoo.com/sector/ms_technology//quote/QCOM?p=QCOM
Intuit Inc.,286.67,https://finance.yahoo.com/sector/ms_technology//quote/INTU?p=INTU
Sony Corporation,56.63,https://finance.yahoo.com/sector/ms_technology//quote/SNE?p=SNE
"VMware, Inc.",140.11,https://finance.yahoo.com/sector/ms_technology//quote/VMW?p=VMW
"Uber Technologies, Inc.",32.12,https://finance.yahoo.com/sector/ms_technology//quote/UBER?p=UBER
"Micron Technology, Inc.",45.33,https://finance.yahoo.com/sector/ms_technology//quote/MU?p=MU
"ServiceNow, Inc.",257.00,https://finance.yahoo.com/sector/ms_technology//quote/NOW?p=NOW
"L3Harris Technologies, Inc.",212.13,https://finance.yahoo.com/sector/ms_technology//quote/LHX?p=LHX
Infosys Limited,11.40,https://finance.yahoo.com/sector/ms_technology//quote/INFY?p=INFY
"Applied Materials, Inc.",47.76,https://finance.yahoo.com/sector/ms_technology//quote/AMAT?p=AMAT
Shopify Inc.,376.63,https://finance.yahoo.com/sector/ms_technology//quote/SHOP?p=SHOP
"Analog Devices, Inc.",109.99,https://finance.yahoo.com/sector/ms_technology//quote/ADI?p=ADI
"Workday, Inc.",173.22,https://finance.yahoo.com/sector/ms_technology//quote/WDAY?p=WDAY
"Activision Blizzard, Inc.",50.52,https://finance.yahoo.com/sector/ms_technology//quote/ATVI?p=ATVI
"Baidu, Inc.",104.25,https://finance.yahoo.com/sector/ms_technology//quote/BIDU?p=BIDU
Dell Technologies Inc.,50.31,https://finance.yahoo.com/sector/ms_technology//quote/DELL?p=DELL
Cognizant Technology Solutions Corporation,61.43,https://finance.yahoo.com/sector/ms_technology//quote/CTSH?p=CTSH
"Advanced Micro Devices, Inc.",31.22,https://finance.yahoo.com/sector/ms_technology//quote/AMD?p=AMD
"Twitter, Inc.",42.27,https://finance.yahoo.com/sector/ms_technology//quote/TWTR?p=TWTR
"NetEase, Inc.",254.42,https://finance.yahoo.com/sector/ms_technology//quote/NTES?p=NTES
Atlassian Corporation Plc,132.31,https://finance.yahoo.com/sector/ms_technology//quote/TEAM?p=TEAM
"Autodesk, Inc.",142.20,https://finance.yahoo.com/sector/ms_technology//quote/ADSK?p=ADSK
TE Connectivity Ltd.,91.87,https://finance.yahoo.com/sector/ms_technology//quote/TEL?p=TEL
Lam Research Corporation,210.18,https://finance.yahoo.com/sector/ms_technology//quote/LRCX?p=LRCX
"Motorola Solutions, Inc.",180.91,https://finance.yahoo.com/sector/ms_technology//quote/MSI?p=MSI
NXP Semiconductors N.V.,102.57,https://finance.yahoo.com/sector/ms_technology//quote/NXPI?p=NXPI
Electronic Arts Inc.,93.85,https://finance.yahoo.com/sector/ms_technology//quote/EA?p=EA
HP Inc.,18.28,https://finance.yahoo.com/sector/ms_technology//quote/HPQ?p=HPQ
"Square, Inc.",61.50,https://finance.yahoo.com/sector/ms_technology//quote/SQ?p=SQ
"Xilinx, Inc.",103.80,https://finance.yahoo.com/sector/ms_technology//quote/XLNX?p=XLNX
Amphenol Corporation,87.68,https://finance.yahoo.com/sector/ms_technology//quote/APH?p=APH
Telefonaktiebolaget LM Ericsson (publ),7.83,https://finance.yahoo.com/sector/ms_technology//quote/ERIC?p=ERIC
PagSeguro Digital Ltd.,49.66,https://finance.yahoo.com/sector/ms_technology//quote/PAGS?p=PAGS
Fortive Corporation,935.19,https://finance.yahoo.com/sector/ms_technology//quote/FTV-PA?p=FTV-PA
Spotify Technology S.A.,133.88,https://finance.yahoo.com/sector/ms_technology//quote/SPOT?p=SPOT
"VeriSign, Inc.",203.85,https://finance.yahoo.com/sector/ms_technology//quote/VRSN?p=VRSN
Fortive Corporation,71.25,https://finance.yahoo.com/sector/ms_technology//quote/FTV?p=FTV
Veeva Systems Inc.,162.17,https://finance.yahoo.com/sector/ms_technology//quote/VEEV?p=VEEV
"Match Group, Inc.",84.50,https://finance.yahoo.com/sector/ms_technology//quote/MTCH?p=MTCH
"Total System Services, Inc.",134.28,https://finance.yahoo.com/sector/ms_technology//quote/TSS?p=TSS
KLA Corporation,148.11,https://finance.yahoo.com/sector/ms_technology//quote/KLAC?p=KLAC
Cerner Corporation,68.75,https://finance.yahoo.com/sector/ms_technology//quote/CERN?p=CERN
Corning Incorporated,27.82,https://finance.yahoo.com/sector/ms_technology//quote/GLW?p=GLW
Tencent Music Entertainment Group,13.20,https://finance.yahoo.com/sector/ms_technology//quote/TME?p=TME
Snap Inc.,15.60,https://finance.yahoo.com/sector/ms_technology//quote/SNAP?p=SNAP
IAC/InterActiveCorp,252.68,https://finance.yahoo.com/sector/ms_technology//quote/IAC?p=IAC
"Synopsys, Inc.",141.72,https://finance.yahoo.com/sector/ms_technology//quote/SNPS?p=SNPS
CGI Inc.,78.12,https://finance.yahoo.com/sector/ms_technology//quote/GIB?p=GIB
Microchip Technology Incorporated,87.03,https://finance.yahoo.com/sector/ms_technology//quote/MCHP?p=MCHP
"Palo Alto Networks, Inc.",202.31,https://finance.yahoo.com/sector/ms_technology//quote/PANW?p=PANW
"Cadence Design Systems, Inc.",68.45,https://finance.yahoo.com/sector/ms_technology//quote/CDNS?p=CDNS
Hewlett Packard Enterprise Company,13.82,https://finance.yahoo.com/sector/ms_technology//quote/HPE?p=HPE
"Pinterest, Inc.",33.94,https://finance.yahoo.com/sector/ms_technology//quote/PINS?p=PINS
"Keysight Technologies, Inc.",96.60,https://finance.yahoo.com/sector/ms_technology//quote/KEYS?p=KEYS
Twilio Inc.,129.57,https://finance.yahoo.com/sector/ms_technology//quote/TWLO?p=TWLO
"Arista Networks, Inc.",225.77,https://finance.yahoo.com/sector/ms_technology//quote/ANET?p=ANET
"ANSYS, Inc.",205.51,https://finance.yahoo.com/sector/ms_technology//quote/ANSS?p=ANSS
Check Point Software Technologies Ltd.,107.87,https://finance.yahoo.com/sector/ms_technology//quote/CHKP?p=CHKP
Splunk Inc.,111.11,https://finance.yahoo.com/sector/ms_technology//quote/SPLK?p=SPLK
Western Digital Corporation,56.87,https://finance.yahoo.com/sector/ms_technology//quote/WDC?p=WDC
CDW Corporation,114.45,https://finance.yahoo.com/sector/ms_technology//quote/CDW?p=CDW
"CrowdStrike Holdings, Inc.",80.50,https://finance.yahoo.com/sector/ms_technology//quote/CRWD?p=CRWD
Symantec Corporation,23.24,https://finance.yahoo.com/sector/ms_technology//quote/SYMC?p=SYMC
Marvell Technology Group Ltd.,24.15,https://finance.yahoo.com/sector/ms_technology//quote/MRVL?p=MRVL
STMicroelectronics N.V.,17.72,https://finance.yahoo.com/sector/ms_technology//quote/STM?p=STM
Garmin Ltd.,81.15,https://finance.yahoo.com/sector/ms_technology//quote/GRMN?p=GRMN
"Take-Two Interactive Software, Inc.",132.15,https://finance.yahoo.com/sector/ms_technology//quote/TTWO?p=TTWO
