company_name,company_price_intraday
Apple Inc.,>100
Microsoft Corporation,>100
Taiwan Semiconductor Manufacturing Company Limited,>100
NVIDIA Corporation,>100
ASML Holding N.V.,>100
Adobe Inc.,>100
"Cisco Systems, Inc.",58.85
Broadcom Inc.,>100
"salesforce.com, inc.",>100
Oracle Corporation,84.48
Accenture plc,>100
Intel Corporation,53.805
QUALCOMM Incorporated,>100
Texas Instruments Incorporated,>100
SAP SE,>100
Intuit Inc.,>100
Sony Group Corporation,>100
"Advanced Micro Devices, Inc.",>100
Shopify Inc.,>100
"Applied Materials, Inc.",>100
International Business Machines Corporation,>100
"ServiceNow, Inc.",>100
Infosys Limited,<50
"Micron Technology, Inc.",89.55
Lam Research Corporation,>100
